id,slug,parent_id,icon,order,sale_only,applicable_to
01K7CT80TFHQQP8174A8TWCMPN,cars,01K7M9YVK0V17102B861JRCECW,🚙,0,false,market
01K7CT80TFV3AD47ECD11D13T5,motorcycles,01K7M9YVK0V17102B861JRCECW,🏍️,0,false,market
01K7CT80TGKX3N75PCSMS0Z01M,water-transport,01K7M9YVK0V17102B861JRCECW,⛵,0,false,market
01K7CT80TGR9M8AFH17W7Z2R6F,trucks,01K7M9YVK0V17102B861JRCECW,🚚,0,false,market
01K7CT80THHH2RMPV4VEK6AMMA,engines,01K7CT80THM7QVD5MWP9PEJRHD,⚙️,0,false,market
01K7CT80THM7QVD5MWP9PEJRHD,auto-parts,01K7M9YVK0V17102B861JRCECW,🔩,0,false,market
01K7CT80TJSWRN85NZVY8H1P0V,electronics,01K7M9YVK4G7MYJBP0G4QYQDQQ,💻,1,false,market
01K7CT80TJVMTANRJ9QVW0AZM0,body-parts,01K7CT80THM7QVD5MWP9PEJRHD,🚗,0,false,market
01K7CT80TKDWPPKD3D46FFD95J,tires-wheels,01K7CT80THM7QVD5MWP9PEJRHD,🛞,0,false,market
01K7CT80TKVWT41X5C8HFKR3TM,car-audio,01K7CT80THM7QVD5MWP9PEJRHD,📻,0,false,market
01K7CT80TKZE5V4FRKWYZF1FZ4,interior,01K7CT80THM7QVD5MWP9PEJRHD,🪑,0,false,market
01K7CT80TM43ZZK5584FQ6E7DY,car-care,01K7CT80THM7QVD5MWP9PEJRHD,🧽,0,false,market
01K7CT80TMA3BE503KJWW0G4CC,gps,01K7CT80THM7QVD5MWP9PEJRHD,📍,0,false,market
01K7CT80TN51WHRX1J0GKBXHKF,tuning,01K7CT80THM7QVD5MWP9PEJRHD,⚡,0,false,market
01K7CT80TNY13GHBT1XJ49YRC8,bicycles-scooters,01K7M9YVK0V17102B861JRCECW,🚲,0,false,market
01K7CT80TP0GDESP2EFHZKZSNH,bicycles,01K7CT80TNY13GHBT1XJ49YRC8,🚴,0,false,market
01K7CT80TPMGNANBG5J5WXC731,electric-scooters,01K7CT80TNY13GHBT1XJ49YRC8,🛴,0,false,market
01K7CT80TQ7TX9TCTDKJHSGMYW,bike-parts,01K7CT80TNY13GHBT1XJ49YRC8,🔧,0,false,market
01K7CT80TQMJMYQQJGW5Z6HENK,gyroscooters,01K7CT80TNY13GHBT1XJ49YRC8,🛴,0,false,market
01K7CT80TR554RXN0QGYT95Q37,real-estate,,🏠,1,false,market
01K7CT80TRNWJKXM94CXV4J3XB,apartments,01K7CT80TR554RXN0QGYT95Q37,🏢,0,false,market
01K7CT80TTKDYWB1JAM3YT73KH,rooms,01K7CT80TR554RXN0QGYT95Q37,🛏️,0,false,market
01K7CT80TV46GRE08NAPPP02K7,houses,01K7CT80TR554RXN0QGYT95Q37,🏡,0,false,market
01K7CT80TXQYRHH6ZRGT0CZC5D,land,01K7CT80TR554RXN0QGYT95Q37,🌾,0,false,market
01K7CT80TZSCPSV1JJQ8JQBJDZ,offices,01K7CT80TR554RXN0QGYT95Q37,🏛️,0,false,market
01K7CT80V0AWYEQVADB50KW0V6,warehouses,01K7CT80TR554RXN0QGYT95Q37,🏭,0,false,market
01K7CT80V0K9ZKECVPGH1SRKX7,retail,01K7CT80TR554RXN0QGYT95Q37,🛍️,0,false,market
01K7CT80V172TMGGDFNHN5ZE12,garages,01K7CT80TR554RXN0QGYT95Q37,🅿️,0,false,market
01K7CT80V2SMVBN40APY0XRVA9,desktop,01K7CT80V2ZY0CF65KSKKDWKE5,🖥️,0,false,market
01K7CT80V2ZY0CF65KSKKDWKE5,computers,01K7CT80TJSWRN85NZVY8H1P0V,🖥️,0,false,market
01K7CT80V3E8T8MRJ0FKRGZBGY,tablets,01K7CT80V2ZY0CF65KSKKDWKE5,📱,0,false,market
01K7CT80V3KMWY1E44CMMTVYP8,laptops,01K7CT80V2ZY0CF65KSKKDWKE5,💻,0,false,market
01K7CT80V4Q2A19MP22A9B8A57,all-in-one,01K7CT80V2ZY0CF65KSKKDWKE5,🖥️,0,false,market
01K7CT80V4Q6TQN2A288R68QEQ,ereaders,01K7CT80V2ZY0CF65KSKKDWKE5,📖,0,false,market
01K7CT80V515ABGCWAF9PD769P,gpu,01K7CT80V58YMFRATMG8Z6NRNK,🎨,0,false,market
01K7CT80V58YMFRATMG8Z6NRNK,components,01K7CT80TJSWRN85NZVY8H1P0V,🔌,0,false,market
01K7CT80V5M2VPG13YX29VD7BG,cpu,01K7CT80V58YMFRATMG8Z6NRNK,🔢,0,false,market
01K7CT80V6X6XG23B3BTC7C0DQ,motherboard,01K7CT80V58YMFRATMG8Z6NRNK,🔌,0,false,market
01K7CT80V6XCXTZDWV28Y51JWQ,ram,01K7CT80V58YMFRATMG8Z6NRNK,💾,0,false,market
01K7CT80V77E29HTZX6MFSFTC0,storage,01K7CT80V58YMFRATMG8Z6NRNK,📦,0,false,market
01K7CT80V7FESNNR4V6J6ZCYWJ,psu,01K7CT80V58YMFRATMG8Z6NRNK,⚡,0,false,market
01K7CT80V86TTQ3MTPD14RRR8A,cooling,01K7CT80V58YMFRATMG8Z6NRNK,❄️,0,false,market
01K7CT80V8G4VTTMM0YGSSA669,cases,01K7CT80V58YMFRATMG8Z6NRNK,📦,0,false,market
01K7CT80V93E7FXB5VWRMTE32X,peripherals,01K7CT80TJSWRN85NZVY8H1P0V,⌨️,0,false,market
01K7CT80V9B97BCZ6EBNFT3VEY,sound-cards,01K7CT80V58YMFRATMG8Z6NRNK,🔊,0,false,market
01K7CT80VA0T8X0RWM715KKEXG,monitors,01K7CT80V93E7FXB5VWRMTE32X,🖥️,0,false,market
01K7CT80VASNKX3FXHP22E867B,keyboards,01K7CT80V93E7FXB5VWRMTE32X,⌨️,0,false,market
01K7CT80VBC3HA3S5779HF8MS6,mice,01K7CT80V93E7FXB5VWRMTE32X,🖱️,0,false,market
