category_id,lang,name,description
01K7CT80TFHQQP8174A8TWCMPN,en,Cars,New & Used Cars
01K7CT80TFHQQP8174A8TWCMPN,ru,Легковые автомобили,Новые и б/у легковые автомобили
01K7CT80TFHQQP8174A8TWCMPN,pt,Carros,Carros Novos e Usados
01K7CT80TFHQQP8174A8TWCMPN,es,Automóviles,Coches Nuevos y de Segunda Mano
01K7CT80TFV3AD47ECD11D13T5,en,Motorcycles & Powersports,"Motorcycles, Scooters, ATVs & Mopeds"
01K7CT80TFV3AD47ECD11D13T5,ru,Мотоциклы и мототехника,"Мотоциклы, скутеры, квадроциклы, мопеды"
01K7CT80TFV3AD47ECD11D13T5,pt,Motocicletas e Veículos Motorizados,"Motociclos, Scooters, Quads e Ciclomotores"
01K7CT80TFV3AD47ECD11D13T5,es,Motocicletas y Vehículos Motorizados,"Motocicletas, Scooters, Quads y Ciclomotores"
01K7CT80TGKX3N75PCSMS0Z01M,en,Watercraft,"Boats, Motorboats, Yachts & Jet Skis"
01K7CT80TGKX3N75PCSMS0Z01M,ru,Водный транспорт,"Лодки, катера, яхты, гидроциклы"
01K7CT80TGKX3N75PCSMS0Z01M,pt,Embarcações,"Barcos, Lanchas, Iates e Motas de Água"
01K7CT80TGKX3N75PCSMS0Z01M,es,Embarcaciones,"Barcos, Lanchas, Yates y Motos de Agua"
01K7CT80TGR9M8AFH17W7Z2R6F,en,Trucks & Heavy Equipment,"Trucks, Buses & Commercial Vehicles"
01K7CT80TGR9M8AFH17W7Z2R6F,ru,Грузовики и спецтехника,"Грузовые автомобили, автобусы, спецтехника"
01K7CT80TGR9M8AFH17W7Z2R6F,pt,Caminhões e Maquinaria Pesada,"Camiões, Autocarros e Veículos Comerciais"
01K7CT80TGR9M8AFH17W7Z2R6F,es,Camiones y Maquinaria Pesada,"Camiones, Autobuses y Vehículos Industriales"
01K7CT80THHH2RMPV4VEK6AMMA,en,Engines & Components,
01K7CT80THHH2RMPV4VEK6AMMA,ru,Двигатели и комплектующие,
01K7CT80THHH2RMPV4VEK6AMMA,pt,Motores e Componentes,
01K7CT80THHH2RMPV4VEK6AMMA,es,Motores y Componentes,
